Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
DG009,LB,0.1,1e-06,1e-05,11,11,148,148,144545454.5454545
DG009,Kan,0.1,0.1,1.0,7,7,45,45,472.7272727272727
DG011,LB,0.1,1e-06,1e-05,5,5,110,110,104545454.54545452
DG011,Kan,0.1,0.1,1.0,5,5,33,33,345.4545454545454
DG027,LB,0.1,1e-06,1e-05,22,22,183,183,186363636.3636363
DG028,LB,0.1,1e-06,1e-05,18,18,151,151,153636363.6363636
DG028,Kan,0.1,0.1,1.0,12,12,90,90,927.2727272727273
DG032,LB,0.1,1e-06,1e-05,17,17,164,164,164545454.5454545
DG033,LB,0.1,1e-06,1e-05,18,18,170,170,170909090.90909088
DG033,Kan,0.1,0.1,1.0,13,13,141,141,1399.9999999999998
DG027,Kan,0.1,0.1,1.0,20,40,280,210,2499.9999999999995
DG032,Kan,0.1,10e-2,10e-1,10,40,220,190,2090.9090909090905
