Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
DG060 #1,LB,0.01,1.00E-06,1.00E-05,2,3,18,16,177272727.3
DG060 #2,LB,0.01,1.00E-06,1.00E-05,2,4,24,14,200000000
DG060 #3,LB,0.01,1.00E-06,1.00E-05,1,2,16,17,163636363.6
DG060 #4,LB,0.01,1.00E-06,1.00E-05,1,2,23,20,209090909.1
DG060 #5,LB,0.01,1.00E-06,1.00E-05,5,1,12,20,172727272.7
DG060 #1,Kan,0.01,0.1,1,1,2,15,21,1772.727273
DG060 #2,Kan,0.01,0.1,1,1,1,14,16,1454.545455
DG060 #3,Kan,0.01,0.1,1,0,2,16,9,1227.272727
DG060 #4,Kan,0.01,0.1,1,1,0,15,18,1545.454545
DG060 #5,Kan,0.01,1.00E-01,1.00E+00,1,0,5,6,545.4545455
DG061 #1,LB,0.01,1.00E-06,1.00E-05,5,8,30,22,295454545.5
DG061 #2,LB,0.01,1.00E-06,1.00E-05,3,3,28,29,286363636.4
DG061 #3,LB,0.01,1.00E-06,1.00E-05,2,0,18,26,209090909.1
DG061 #4,LB,0.01,1.00E-06,1.00E-05,2,2,25,30,268181818.2
DG061 #5,LB,0.01,1.00E-06,1.00E-05,1,5,22,22,227272727.3
DG062 #1,LB,0.01,1.00E-06,1.00E-05,7,1,22,33,286363636.4
DG062 #2,LB,0.01,1.00E-06,1.00E-05,4,3,22,31,272727272.7
DG062 #3,LB,0.01,1.00E-06,1.00E-05,5,7,28,25,295454545.5
DG062 #4,LB,0.01,1.00E-06,1.00E-05,0,6,18,25,222727272.7
DG062 #5,LB,0.01,1.00E-06,1.00E-05,19,18,43,37,531818181.8
DG061 #1,Kan,0.01,0.1,1,3,7,31,36,3500
DG061 #2,Kan,0.01,0.1,1,4,6,33,35,3545.454545
DG061 #3,Kan,0.01,0.1,1,2,3,20,18,1954.545455
DG061 #4,Kan,0.01,0.1,1,8,9,40,44,4590.909091
DG061 #5,Kan,0.01,0.1,1,4,0,22,17,1954.545455
DG062 #1,Kan,0.01,0.1,1,1,1,14,11,1227.272727
DG062 #2,Kan,0.01,0.1,1,2,2,16,17,1681.818182
DG062 #3,Kan,0.01,0.1,1,11,9,31,30,3681.818182
DG062 #4,Kan,0.01,0.1,1,3,3,14,18,1727.272727
DG062 #5,Kan,0.01,1.00E-01,1.00E+00,2,4,19,22,2136.363636
