,Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre,Median
0,DG061 #1,LB,0.01,1e-06,1e-05,5,8,30,22,295454545.4545454,True
1,DG061 #2,LB,0.01,1e-06,1e-05,3,3,28,29,286363636.3636363,NA
2,DG061 #3,LB,0.01,1e-06,1e-05,2,0,18,26,209090909.09090903,NA
3,DG061 #4,LB,0.01,1e-06,1e-05,2,2,25,30,268181818.18181813,NA
4,DG061 #5,LB,0.01,1e-06,1e-05,1,5,22,22,227272727.2727272,NA
5,DG062 #1,LB,0.01,1e-06,1e-05,7,1,22,33,286363636.3636363,NA
6,DG062 #2,LB,0.01,1e-06,1e-05,4,3,22,31,272727272.7272727,NA
7,DG062 #3,LB,0.01,1e-06,1e-05,5,7,28,25,295454545.4545454,NA
8,DG062 #4,LB,0.01,1e-06,1e-05,0,6,18,25,222727272.7272727,True
9,DG062 #5,LB,0.01,1e-06,1e-05,19,18,43,37,531818181.81818175,NA
10,DG061 #1,Kan,0.01,0.1,1.0,3,7,31,36,3499.9999999999995,True
11,DG061 #2,Kan,0.01,0.1,1.0,4,6,33,35,3545.454545454545,NA
12,DG061 #3,Kan,0.01,0.1,1.0,2,3,20,18,1954.5454545454545,NA
13,DG061 #4,Kan,0.01,0.1,1.0,8,9,40,44,4590.90909090909,NA
14,DG061 #5,Kan,0.01,0.1,1.0,4,0,22,17,1954.5454545454545,NA
15,DG062 #1,Kan,0.01,0.1,1.0,1,1,14,11,1227.2727272727273,NA
16,DG062 #2,Kan,0.01,0.1,1.0,2,2,16,17,1681.8181818181818,NA
17,DG062 #3,Kan,0.01,0.1,1.0,11,9,31,30,3681.8181818181815,NA
18,DG062 #4,Kan,0.01,0.1,1.0,3,3,14,18,1727.272727272727,True
19,DG062 #5,Kan,0.01,0.1,1.0,2,4,19,22,2136.363636363636,NA
