Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
SLM1042 #1,11,1318181818.0,5000.0,3.79e-06,648.1605263,79.92150318,0.123305107,4.92e-07,6.06e-08
SLM1042 #2,11,1386363637.0,5909.09091,4.26e-06,751.5839975,91.12600477,0.12124527,5.42e-07,6.57e-08
SLM1042 #3,11,1159090909.0,2045.454546,1.76e-06,295.2518877,40.01694544,0.135534935,2.55e-07,3.45e-08
SLM1042 #4,11,1159090909.0,21136.36364,1.82e-05,2348.126603,252.2710402,0.107435025,2.03e-06,2.18e-07
SLM1042 #5,11,1250000000.0,3409.090909,2.73e-06,462.188631,59.29109928,0.128283336,3.7e-07,4.74e-08
SLM1042 #6,11,1454545455.0,10681.81818,7.34e-06,1273.261326,145.7095931,0.114438089,8.75e-07,1e-07
SLM1042 #7,11,1477272728.0,909.090909,6.15e-07,146.0615107,21.72510555,0.148739428,9.89e-08,1.47e-08
SLM1042 #8,11,1659090909.0,3863.636364,2.33e-06,516.094892,65.3457244,0.126615716,3.11e-07,3.94e-08
SLM1042 #9,11,1500000000.0,4090.909091,2.73e-06,542.7960307,68.32040802,0.125867553,3.62e-07,4.55e-08
SLM1042 #10,11,1454545455.0,2500.0,1.72e-06,351.940992,46.666442,0.132597347,2.42e-07,3.21e-08
SLM1042 #11,11,1068181818.0,2500.0,2.34e-06,351.940992,46.666442,0.132597347,3.29e-07,4.37e-08
SLM1043 #1,11,1681818182.0,7500.0,4.46e-06,928.906655,109.9963875,0.118414899,5.52e-07,6.54e-08
SLM1043 #2,11,1113636364.0,8181.81818,7.35e-06,1003.722878,117.8496839,0.117412571,9.01e-07,1.06e-07
SLM1043 #3,11,1090909091.0,14318.18182,1.31e-05,1654.985097,184.2479492,0.111329068,1.52e-06,1.69e-07
SLM1043 #4,11,1363636364.0,10909.09091,8e-06,1297.442433,148.1799251,0.114209248,9.51e-07,1.09e-07
SLM1043 #5,11,545454545.5,10681.81818,1.96e-05,1273.261326,145.7095931,0.114438089,2.33e-06,2.67e-07
SLM1043 #6,11,1363636364.0,15681.81818,1.15e-05,1795.669216,198.2344795,0.110395878,1.32e-06,1.45e-07
SLM1043 #7,11,1363636364.0,17272.72728,1.27e-05,1958.386581,214.2880378,0.109420704,1.44e-06,1.57e-07
SLM1043 #8,11,1977272728.0,14318.18182,7.24e-06,1654.985097,184.2479492,0.111329068,8.37e-07,9.32e-08
SLM1043 #9,11,1363636364.0,12727.27273,9.33e-06,1489.260544,167.6305536,0.112559588,1.09e-06,1.23e-07
SLM1043 #10,11,1454545455.0,10454.54546,7.19e-06,1249.031207,143.2298353,0.114672744,8.59e-07,9.85e-08
SLM1043 #11,11,1409090909.0,23181.81818,1.65e-05,2551.785383,271.8899798,0.106548921,1.81e-06,1.93e-07
DG024 #1,11,1272727273.0,6590.90909,5.18e-06,828.0944516,99.31610731,0.119933308,6.51e-07,7.8e-08
DG024 #2,11,1136363637.0,10000.0,8.8e-06,1200.418831,138.2409959,0.115160636,1.06e-06,1.22e-07
DG024 #3,11,1295454546.0,14090.90909,1.09e-05,1631.419828,181.8947286,0.111494739,1.26e-06,1.4e-07
DG024 #4,11,1113636364.0,8409.09091,7.55e-06,1028.524225,120.4404322,0.117100239,9.24e-07,1.08e-07
DG024 #5,11,1181818182.0,11136.36364,9.42e-06,1321.575727,150.641077,0.113985959,1.12e-06,1.27e-07
DG024 #6,11,1250000000.0,10227.27273,8.18e-06,1224.750815,140.7403933,0.114913492,9.8e-07,1.13e-07
DG024 #7,11,1068181818.0,8863.636365,8.3e-06,1077.933894,125.5841377,0.116504489,1.01e-06,1.18e-07
DG024 #8,11,818181818.0,261363.6364,0.000319444,23150.4819,2024.052474,0.087430252,2.83e-05,2.47e-06
DG024 #9,11,1000000000.0,7727.272725,7.73e-06,953.9164433,112.6281546,0.118069203,9.54e-07,1.13e-07
DG024 #10,11,1204545455.0,10909.09091,9.06e-06,1297.442433,148.1799251,0.114209248,1.08e-06,1.23e-07
DG024 #11,11,1590909091.0,16363.63637,1.03e-05,1865.582418,205.1475529,0.109964347,1.17e-06,1.29e-07
DG026 #1,11,1272727272.5,17045.454545,1.339285714489158e-05,1935.228427949596,212.01088193292185,0.1095534144036683,1.5205366222319214e-06,1.6657997869132788e-07
DG026 #2,11,1545454545.5,8409.090909999999,5.441176471016435e-06,1028.524224921944,120.44043219096554,0.1171002386454299,6.655156749299191e-07,7.793204435656794e-08
DG026 #3,11,1386363636.5,15227.272725,1.0983606554657353e-05,1748.9052664706282,193.5967975172704,0.1106959886443464,1.2615054379858788e-06,1.3964359163806616e-07
DG026 #4,11,1272727272.5,15454.545455,1.2142857145382652e-05,1772.3031100654282,195.9186055631237,0.1105446379067127,1.39252387244293e-06,1.539360472556572e-07
DG026 #5,11,1431818182.0,15454.545455,1.079365079259763e-05,1772.3031100654282,195.9186055631237,0.1105446379067127,1.2377989973488326e-06,1.3683204196321882e-07
DG026 #6,11,1340909091.0,14318.18182,1.0677966102326917e-05,1654.9850970775817,184.24794922488832,0.1113290684914555,1.2342261740080797e-06,1.3740525026009262e-07
DG026 #7,11,1409090909.0,13181.81818,9.354838708990636e-06,1536.7980498703273,172.4138451999761,0.112190307122347,1.0906308741718858e-06,1.2235821273045778e-07
DG026 #8,11,1727272727.5,12272.727275,7.105263158275623e-06,1441.5635111760805,162.8169916612841,0.1129447231419252,8.345894010973902e-07,9.426246884412997e-08
DG026 #9,11,1704545454.5,13409.09091,7.866666667409777e-06,1560.5090164780638,174.79455058045102,0.1120112403931811,9.154986230248774e-07,1.0254613634326585e-07
DG026 #10,11,1522727272.5,8409.090909999999,5.522388061122744e-06,1028.524224921944,120.44043219096554,0.1171002386454299,6.754487448256719e-07,7.909520921184234e-08
DG026 #11,11,1750000000.0,14545.454545,8.311688311428572e-06,1678.5156489191013,186.59464125295096,0.1111664591111263,9.591517993823435e-07,1.0662550928740057e-07
DG027 #1,11,1068181818.0,4545.4545455,4.255319149703033e-06,595.7486808132279,74.17660039284091,0.124509886100941,5.577221693668895e-07,6.94419237838412e-08
DG027 #2,11,1159090909.0,2954.5454545,2.5490196080038447e-06,407.51863918100617,53.075547668732085,0.1302407854899557,3.515847083406002e-07,4.579066858053675e-08
DG027 #3,11,931818182.0,6590.90909,7.073170729351577e-06,828.0944515615159,99.316107305112,0.119933308474455,8.886867283316392e-07,1.0658313952615276e-07
DG027 #4,11,1204545454.5,4772.7272725,3.962264150904236e-06,622.0182792162686,77.06210133983686,0.1238904127334226,5.163925337084642e-07,6.39760841335995e-08
DG027 #5,11,1227272727.5,2500.0,2.037037036659808e-06,351.94099203846,46.66644199906813,0.132597347438199,2.867667342004551e-07,3.802450828849543e-08
DG027 #6,11,1295454545.5,2727.2727275,2.1052631579963065e-06,379.8542357540736,49.89769284808848,0.1313601064603986,2.932208135542596e-07,3.8517517284892255e-08
DG027 #7,11,909090909.0,4545.4545455,5.00000000055e-06,595.7486808132279,74.17660039284091,0.124509886100941,6.55323548960083e-07,8.159426044028444e-08
DG027 #8,11,1000000000.0,4090.909091,4.090909090999999e-06,542.7960307204031,68.32040802125164,0.1258675527353732,5.427960307204031e-07,6.832040802125165e-08
DG027 #9,11,954545454.5,10000.0,1.0476190476689342e-05,1200.4188308472276,138.2409959198841,0.1151606359109818,1.257581632376028e-06,1.4482390049439405e-07
DG027 #10,11,795454545.5,3863.6363635,4.857142856693878e-06,516.0948920169185,65.34572439564886,0.1266157162305468,6.488050070699087e-07,8.214891066412148e-08
DG027 #11,11,1022727272.5,3409.0909090000005,3.3333333339851857e-06,462.18863095656906,59.2910992758677,0.1282833356440547,4.519177725912937e-07,5.797351930484253e-08
DG028 #1,11,1659090909.0,2272.7272725000003,1.369863013636705e-06,323.7514292798276,43.37546485307824,0.1339776783366339,1.951378477957941e-07,2.6144115803287933e-08
DG028 #2,11,1681818182.0,5454.545455,3.2432432431628925e-06,700.0897744853905,85.56785951952529,0.1222241241595379,4.162695955949599e-07,5.0878186735839015e-08
