Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
DG060 #1,14,977272727.5,26136.36364,2.67E-05,2843.172563,265.6763225,0.093443615,2.91E-06,2.72E-07
DG060 #2,14,1454545455,13181.81818,9.06E-06,1536.79805,152.8285394,0.099446078,1.06E-06,1.05E-07
DG060 #3,14,1068181818,7500,7.02E-06,928.906655,97.50137648,0.104963589,8.70E-07,9.13E-08
DG060 #4,14,1090909091,6818.18182,6.25E-06,853.419393,90.42256834,0.105953262,7.82E-07,8.29E-08
DG060 #5,14,1113636364,10454.54546,9.39E-06,1249.031207,126.9596795,0.101646523,1.12E-06,1.14E-07
DG060 #6,14,1181818182,7045.454545,5.96E-06,878.6609914,92.79610247,0.105610814,7.43E-07,7.85E-08
DG060 #7,14,1340909091,7272.727275,5.42E-06,903.8224257,95.15552012,0.105281212,6.74E-07,7.10E-08
DG060 #8,14,1227272728,15909.09091,1.30E-05,1819.004123,177.7637235,0.09772585,1.48E-06,1.45E-07
DG060 #9,14,1204545455,5681.81818,4.72E-06,725.8886283,78.32045402,0.107895965,6.03E-07,6.50E-08
DG060 #10,14,886363636.5,8863.636365,1.00E-05,1077.933894,111.3184403,0.103270192,1.22E-06,1.26E-07
DG060 #11,14,1000000000,7272.727275,7.27E-06,903.8224257,95.15552012,0.105281212,9.04E-07,9.52E-08
DG060 #12,14,818181818,6136.363635,7.50E-06,777.1805938,83.21104816,0.107067841,9.50E-07,1.02E-07
DG060 #13,14,1045454546,7727.272725,7.39E-06,953.9164433,99.83418869,0.104657163,9.12E-07,9.55E-08
DG060 #14,14,863636363.5,2727.272728,3.16E-06,379.8542358,44.22957742,0.116438289,4.40E-07,5.12E-08
DG061 #1,14,1272727273,18636.36364,1.46E-05,2096.764979,201.9633237,0.096321393,1.65E-06,1.59E-07
DG061 #2,14,1045454546,6818.18182,6.52E-06,853.419393,90.42256834,0.105953262,8.16E-07,8.65E-08
DG061 #3,14,1318181818,9772.727275,7.41E-06,1176.033867,120.3129896,0.102304018,8.92E-07,9.13E-08
DG061 #4,14,1090909091,15909.09091,1.46E-05,1819.004123,177.7637235,0.09772585,1.67E-06,1.63E-07
DG061 #5,14,1681818182,25000,1.49E-05,2731.466137,256.2457394,0.093812527,1.62E-06,1.52E-07
DG061 #6,14,1340909091,16818.18182,1.25E-05,1912.041985,185.9044239,0.097228212,1.43E-06,1.39E-07
DG061 #7,14,1363636364,14090.90909,1.03E-05,1631.419828,161.2324443,0.098829523,1.20E-06,1.18E-07
DG061 #8,14,1113636364,14545.45455,1.31E-05,1678.515649,165.3984716,0.098538534,1.51E-06,1.49E-07
DG061 #9,14,1272727273,17500,1.38E-05,1981.516879,191.959949,0.096875253,1.56E-06,1.51E-07
DG061 #10,14,1477272728,17500,1.18E-05,1981.516879,191.959949,0.096875253,1.34E-06,1.30E-07
DG061 #11,14,1431818182,17727.27273,1.24E-05,2004.619746,193.9693501,0.096761169,1.40E-06,1.35E-07
DG061 #12,14,1045454546,9772.727275,9.35E-06,1176.033867,120.3129896,0.102304018,1.12E-06,1.15E-07
DG061 #13,14,1340909091,22954.54546,1.71E-05,2529.238748,239.0856868,0.094528714,1.89E-06,1.78E-07
DG061 #14,14,1136363637,9772.727275,8.60E-06,1176.033867,120.3129896,0.102304018,1.03E-06,1.06E-07
DG062 #1,14,1386363637,12045.45455,8.69E-06,1417.653013,142.1780056,0.100291118,1.02E-06,1.03E-07
DG062 #2,14,1659090909,19318.18182,1.16E-05,2165.604977,207.914841,0.096007741,1.31E-06,1.25E-07
DG062 #3,14,1090909091,10227.27273,9.37E-06,1224.750815,124.753025,0.101859924,1.12E-06,1.14E-07
DG062 #4,14,1886363637,11818.18182,6.27E-06,1393.699972,140.0269876,0.1004714,7.39E-07,7.42E-08
DG062 #5,14,1750000000,19318.18182,1.10E-05,2165.604977,207.914841,0.096007741,1.24E-06,1.19E-07
DG062 #6,14,1636363637,18181.81818,1.11E-05,2050.744826,197.9749263,0.09653806,1.25E-06,1.21E-07
DG062 #7,14,1681818182,11590.90909,6.89E-06,1369.703422,137.8686102,0.100655812,8.14E-07,8.20E-08
DG062 #8,14,2000000000,12045.45455,6.02E-06,1417.653013,142.1780056,0.100291118,7.09E-07,7.11E-08
DG062 #9,14,1636363637,18863.63637,1.15E-05,2119.73665,203.9512442,0.096215369,1.30E-06,1.25E-07
DG062 #10,14,1431818182,6136.363635,4.29E-06,777.1805938,83.21104816,0.107067841,5.43E-07,5.81E-08
DG062 #11,14,1363636364,8409.09091,6.17E-06,1028.524225,106.7590327,0.103798268,7.54E-07,7.83E-08
DG062 #12,14,1477272728,18409.09091,1.25E-05,2073.767827,199.9712391,0.096428943,1.40E-06,1.35E-07
DG062 #13,14,1113636364,8636.363635,7.76E-06,1053.260557,109.0441951,0.103530123,9.46E-07,9.79E-08
DG062 #14,14,2659090909,10681.81818,4.02E-06,1273.261326,129.1577499,0.101438524,4.79E-07,4.86E-08
