Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre,Median
DG060 #1,LB,0.01,1.00E-06,1.00E-05,4,2,17,20,195454545.5,TRUE
DG060 #2,LB,0.01,1.00E-06,1.00E-05,2,2,27,33,290909090.9,TRUE
DG060 #3,LB,0.01,1.00E-06,1.00E-05,7,1,19,20,213636363.6,TRUE
DG060 #4,LB,0.01,1.00E-06,1.00E-05,4,2,20,22,218181818.2,TRUE
DG060 #5,LB,0.01,1.00E-06,1.00E-05,5,2,22,20,222727272.7,TRUE
DG060 #6,LB,0.01,1.00E-06,1.00E-05,3,4,21,24,236363636.4,TRUE
DG060 #7,LB,0.01,1.00E-06,1.00E-05,1,6,25,27,268181818.2,TRUE
DG060 #8,LB,0.01,1.00E-06,1.00E-05,3,2,24,25,245454545.5,TRUE
DG060 #9,LB,0.01,1.00E-06,1.00E-05,1,5,23,24,240909090.9,TRUE
DG061 #1,LB,0.01,1.00E-06,1.00E-05,2,7,22,25,254545454.5,TRUE
DG061 #2,LB,0.01,1.00E-06,1.00E-05,4,0,21,21,209090909.1,TRUE
DG061 #3,LB,0.01,1.00E-06,1.00E-05,5,1,27,25,263636363.6,TRUE
DG061 #4,LB,0.01,1.00E-06,1.00E-05,2,1,22,23,218181818.2,TRUE
DG061 #5,LB,0.01,1.00E-06,1.00E-05,6,6,30,32,336363636.4,TRUE
DG061 #6,LB,0.01,1.00E-06,1.00E-05,2,1,29,27,268181818.2,TRUE
DG061 #7,LB,0.01,1.00E-06,1.00E-05,3,2,28,27,272727272.7,TRUE
DG061 #8,LB,0.01,1.00E-06,1.00E-05,5,2,24,18,222727272.7,TRUE
DG061 #9,LB,0.01,1.00E-06,1.00E-05,3,2,31,20,254545454.5,TRUE
DG062 #1,LB,0.01,1.00E-06,1.00E-05,6,2,25,28,277272727.3,TRUE
DG062 #2,LB,0.01,1.00E-06,1.00E-05,5,7,32,29,331818181.8,TRUE
DG062 #3,LB,0.01,1.00E-06,1.00E-05,2,1,21,24,218181818.2,TRUE
DG062 #4,LB,0.01,1.00E-06,1.00E-05,5,9,38,31,377272727.3,TRUE
DG062 #5,LB,0.01,1.00E-06,1.00E-05,3,8,33,33,350000000,TRUE
DG062 #6,LB,0.01,1.00E-06,1.00E-05,4,3,33,32,327272727.3,TRUE
DG062 #7,LB,0.01,1.00E-06,1.00E-05,2,6,32,34,336363636.4,TRUE
DG062 #8,LB,0.01,1.00E-06,1.00E-05,9,3,41,35,400000000,TRUE
DG062 #9,LB,0.01,1.00E-06,1.00E-05,3,4,31,34,327272727.3,TRUE
DG060 #1,Kan,0.01,0.1,1,7,8,50,50,5227.272727,TRUE
DG060 #2,Kan,0.01,0.1,1,2,5,26,25,2636.363636,TRUE
DG060 #3,Kan,0.01,0.1,1,1,4,15,13,1500,TRUE
DG060 #4,Kan,0.01,0.1,1,3,0,14,13,1363.636364,TRUE
DG060 #5,Kan,0.01,0.1,1,5,2,17,22,2090.909091,TRUE
DG060 #6,Kan,0.01,0.1,1,4,2,10,15,1409.090909,TRUE
DG060 #7,Kan,0.01,0.1,1,2,3,14,13,1454.545455,TRUE
DG060 #8,Kan,0.01,0.1,1,4,6,27,33,3181.818182,TRUE
DG060 #9,Kan,0.01,0.1,1,2,3,11,9,1136.363636,TRUE
DG061 #1,Kan,0.01,0.1,1,2,7,42,31,3727.272727,TRUE
DG061 #2,Kan,0.01,0.1,1,2,1,13,14,1363.636364,TRUE
DG061 #3,Kan,0.01,0.1,1,3,2,19,19,1954.545455,TRUE
DG061 #4,Kan,0.01,0.1,1,5,4,30,31,3181.818182,TRUE
DG061 #5,Kan,0.01,0.1,1,7,14,43,46,5000,TRUE
DG061 #6,Kan,0.01,0.1,1,5,0,36,33,3363.636364,TRUE
DG061 #7,Kan,0.01,0.1,1,4,2,29,27,2818.181818,TRUE
DG061 #8,Kan,0.01,0.1,1,5,4,25,30,2909.090909,TRUE
DG061 #9,Kan,0.01,0.1,1,4,4,37,32,3500,TRUE
DG062 #1,Kan,0.01,0.1,1,5,1,25,22,2409.090909,TRUE
DG062 #2,Kan,0.01,0.1,1,7,9,36,33,3863.636364,TRUE
DG062 #3,Kan,0.01,0.1,1,0,2,25,18,2045.454545,TRUE
DG062 #4,Kan,0.01,0.1,1,3,2,27,20,2363.636364,TRUE
DG062 #5,Kan,0.01,0.1,1,4,2,33,46,3863.636364,TRUE
DG062 #6,Kan,0.01,0.1,1,7,9,34,30,3636.363636,TRUE
DG062 #7,Kan,0.01,0.1,1,6,6,17,22,2318.181818,TRUE
DG062 #8,Kan,0.01,0.1,1,7,2,24,20,2409.090909,TRUE
DG062 #9,Kan,0.01,1.00E-01,1.00E+00,3,8,32,40,3772.727273,TRUE
