Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
DG060 #1,LB,0.01,1.00E-06,1.00E-05,2,6,19,19,209090909.1
DG060 #2,LB,0.01,1.00E-06,1.00E-05,1,0,14,16,140909090.9
DG060 #3,LB,0.01,1.00E-06,1.00E-05,0,2,16,15,150000000
DG060 #4,LB,0.01,1.00E-06,1.00E-05,3,2,17,16,172727272.7
DG060 #5,LB,0.01,1.00E-06,1.00E-05,2,0,11,14,122727272.7
DG060 #6,LB,0.01,1.00E-06,1.00E-05,4,3,13,17,168181818.2
DG060 #7,LB,0.01,1.00E-06,1.00E-05,0,1,16,20,168181818.2
DG060 #8,LB,0.01,1.00E-06,1.00E-05,0,2,8,18,127272727.3
DG060 #9,LB,0.01,1.00E-06,1.00E-05,2,1,17,21,186363636.4
DG061 #1,LB,0.01,1.00E-06,1.00E-05,2,4,22,25,240909090.9
DG061 #2,LB,0.01,1.00E-06,1.00E-05,3,4,23,14,200000000
DG061 #3,LB,0.01,1.00E-06,1.00E-05,5,4,23,26,263636363.6
DG061 #4,LB,0.01,1.00E-06,1.00E-05,4,6,16,21,213636363.6
DG061 #5,LB,0.01,1.00E-06,1.00E-05,3,1,9,12,113636363.6
DG061 #6,LB,0.01,1.00E-06,1.00E-05,2,3,23,16,200000000
DG061 #7,LB,0.01,1.00E-06,1.00E-05,2,2,16,18,172727272.7
DG061 #8,LB,0.01,1.00E-06,1.00E-05,3,3,20,21,213636363.6
DG061 #9,LB,0.01,1.00E-06,1.00E-05,3,2,19,22,209090909.1
DG062 #1,LB,0.01,1.00E-06,1.00E-05,0,4,14,22,181818181.8
DG062 #2,LB,0.01,1.00E-06,1.00E-05,1,1,19,21,190909090.9
DG062 #3,LB,0.01,1.00E-06,1.00E-05,3,4,22,24,240909090.9
DG062 #4,LB,0.01,1.00E-06,1.00E-05,3,2,28,20,240909090.9
DG062 #5,LB,0.01,1.00E-06,1.00E-05,3,5,12,18,172727272.7
DG062 #6,LB,0.01,1.00E-06,1.00E-05,4,2,26,29,277272727.3
DG062 #7,LB,0.01,1.00E-06,1.00E-05,2,7,23,25,259090909.1
DG062 #8,LB,0.01,1.00E-06,1.00E-05,1,6,22,23,236363636.4
DG062 #9,LB,0.01,1.00E-06,1.00E-05,4,2,24,30,272727272.7
DG060 #1,Kan,0.01,0.1,1,1,1,14,15,1409.090909
DG060 #2,Kan,0.01,0.1,1,1,1,17,15,1545.454545
DG060 #3,Kan,0.01,0.1,1,1,0,14,9,1090.909091
DG060 #4,Kan,0.01,0.1,1,0,1,12,16,1318.181818
DG060 #5,Kan,0.01,0.1,1,2,1,16,18,1681.818182
DG060 #6,Kan,0.01,0.1,1,1,2,8,14,1136.363636
DG060 #7,Kan,0.01,0.1,1,3,0,15,24,1909.090909
DG060 #8,Kan,0.01,0.1,1,2,0,14,10,1181.818182
DG060 #9,Kan,0.01,0.1,1,0,0,15,18,1500
DG061 #1,Kan,0.01,0.1,1,4,5,39,40,4000
DG061 #2,Kan,0.01,0.1,1,4,4,25,19,2363.636364
DG061 #3,Kan,0.01,0.1,1,5,4,20,20,2227.272727
DG061 #4,Kan,0.01,0.1,1,4,5,29,31,3136.363636
DG061 #5,Kan,0.01,0.1,1,4,2,22,25,2409.090909
DG061 #6,Kan,0.01,0.1,1,7,6,31,36,3636.363636
DG061 #7,Kan,0.01,0.1,1,13,11,60,68,6909.090909
DG061 #8,Kan,0.01,0.1,1,3,2,21,27,2409.090909
DG061 #9,Kan,0.01,0.1,1,60,60,200,200,23636.36364
DG062 #1,Kan,0.01,0.1,1,3,2,31,23,2681.818182
DG062 #2,Kan,0.01,0.1,1,1,0,20,16,1681.818182
DG062 #3,Kan,0.01,0.1,1,5,2,19,12,1727.272727
DG062 #4,Kan,0.01,0.1,1,2,1,24,32,2681.818182
DG062 #5,Kan,0.01,0.1,1,3,3,28,30,2909.090909
DG062 #6,Kan,0.01,0.1,1,3,5,30,20,2636.363636
DG062 #7,Kan,0.01,0.1,1,1,1,15,23,1818.181818
DG062 #8,Kan,0.01,0.1,1,1,1,37,26,2954.545455
DG062 #9,Kan,0.01,1.00E-01,1.00E+00,1,5,14,19,1772.727273
