,Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre,Median
0,DG011 #1,LB,0.01,1e-06,1e-05,4,4,22,28,263636363.6363636,NA
1,DG011 #2,LB,0.01,1e-06,1e-05,1,3,23,22,222727272.7272727,NA
2,DG011 #3,LB,0.01,1e-06,1e-05,3,3,26,25,259090909.090909,NA
3,DG011 #4,LB,0.01,1e-06,1e-05,1,4,29,23,259090909.090909,NA
4,DG011 #5,LB,0.01,1e-06,1e-05,1,1,28,23,240909090.9090909,NA
5,DG011 #6,LB,0.01,1e-06,1e-05,5,3,21,24,240909090.9090909,NA
6,DG011 #7,LB,0.01,1e-06,1e-05,3,3,19,17,190909090.9090909,NA
7,DG011 #8,LB,0.01,1e-06,1e-05,4,0,19,18,186363636.3636364,NA
8,DG011 #9,LB,0.01,1e-06,1e-05,1,3,26,25,250000000.0,NA
9,DG012 #1,LB,0.01,1e-06,1e-05,5,1,26,28,272727272.7272727,NA
10,DG012 #2,LB,0.01,1e-06,1e-05,3,0,17,21,186363636.3636364,NA
11,DG012 #3,LB,0.01,1e-06,1e-05,5,3,35,29,327272727.2727272,NA
12,DG012 #4,LB,0.01,1e-06,1e-05,1,5,17,24,213636363.6363636,NA
13,DG012 #5,LB,0.01,1e-06,1e-05,1,3,30,20,245454545.4545454,NA
14,DG012 #6,LB,0.01,1e-06,1e-05,1,3,20,20,200000000.0,NA
15,DG012 #7,LB,0.01,1e-06,1e-05,5,4,23,18,227272727.2727272,NA
16,DG012 #8,LB,0.01,1e-06,1e-05,5,4,24,27,272727272.7272727,NA
17,DG012 #9,LB,0.01,1e-06,1e-05,2,1,19,21,195454545.4545454,NA
18,SLM1042 #1,LB,0.01,1e-06,1e-05,2,2,18,24,209090909.090909,NA
19,SLM1042 #2,LB,0.01,1e-06,1e-05,6,3,25,24,263636363.6363636,NA
20,SLM1042 #3,LB,0.01,1e-06,1e-05,6,5,19,22,236363636.3636363,NA
21,SLM1042 #4,LB,0.01,1e-06,1e-05,1,5,21,26,240909090.9090909,True
22,SLM1042 #5,LB,0.01,1e-06,1e-05,4,3,31,18,254545454.5454545,NA
23,SLM1042 #6,LB,0.01,1e-06,1e-05,6,2,24,23,250000000.0,NA
24,SLM1042 #7,LB,0.01,1e-06,1e-05,1,3,22,20,209090909.090909,NA
25,SLM1042 #8,LB,0.01,1e-06,1e-05,2,3,25,18,218181818.1818182,NA
26,SLM1042 #9,LB,0.01,1e-06,1e-05,2,5,23,32,281818181.8181817,NA
27,SLM1043 #1,LB,0.01,1e-06,1e-05,3,0,21,18,190909090.9090909,NA
28,SLM1043 #2,LB,0.01,1e-06,1e-05,4,1,24,29,263636363.6363636,NA
29,SLM1043 #3,LB,0.01,1e-06,1e-05,3,1,17,22,195454545.4545454,NA
30,SLM1043 #4,LB,0.01,1e-06,1e-05,2,1,26,26,250000000.0,NA
31,SLM1043 #5,LB,0.01,1e-06,1e-05,3,1,27,21,236363636.3636363,NA
32,SLM1043 #6,LB,0.01,1e-06,1e-05,4,1,17,21,195454545.4545454,NA
33,SLM1043 #7,LB,0.01,1e-06,1e-05,6,1,20,20,213636363.6363636,True
34,SLM1043 #8,LB,0.01,1e-06,1e-05,3,2,22,27,245454545.4545454,NA
35,SLM1043 #9,LB,0.01,1e-06,1e-05,3,3,26,27,268181818.18181813,NA
