Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
DG009 #1,LB,0.01,1e-06,1e-05,4,0,23,26,240909090.9
DG009 #2,LB,0.01,1e-06,1e-05,3,0,23,31,259090909.1
DG009 #3,LB,0.01,1e-06,1e-05,2,5,21,20,218181818.2
DG009 #4,LB,0.01,1e-06,1e-05,3,3,25,19,227272727.3
DG009 #5,LB,0.01,1e-06,1e-05,1,2,18,15,163636363.6
DG009 #6,LB,0.01,1e-06,1e-05,1,3,24,24,236363636.4
DG009 #7,LB,0.01,1e-06,1e-05,1,5,22,21,222727272.7
DG009 #8,LB,0.01,1e-06,1e-05,1,5,23,30,268181818.2
DG009 #9,LB,0.01,1e-06,1e-05,3,2,21,17,195454545.5
DG011 #1,LB,0.01,1e-06,1e-05,6,5,24,27,281818181.8
DG011 #2,LB,0.01,1e-06,1e-05,1,0,18,29,218181818.2
DG011 #3,LB,0.01,1e-06,1e-05,1,3,18,25,213636363.6
DG011 #4,LB,0.01,1e-06,1e-05,4,2,19,25,227272727.3
DG011 #5,LB,0.01,1e-06,1e-05,5,2,28,27,281818181.8
DG011 #6,LB,0.01,1e-06,1e-05,4,2,18,16,181818181.8
DG011 #7,LB,0.01,1e-06,1e-05,6,1,30,20,259090909.1
DG011 #8,LB,0.01,1e-06,1e-05,6,4,16,26,236363636.4
DG011 #9,LB,0.01,1e-06,1e-05,3,4,32,15,245454545.5
DG027 #1,LB,0.01,1e-06,1e-05,3,2,21,23,222727272.7
DG027 #2,LB,0.01,1e-06,1e-05,5,1,30,27,286363636.4
DG027 #3,LB,0.01,1e-06,1e-05,5,2,25,27,268181818.2
DG027 #4,LB,0.01,1e-06,1e-05,4,0,29,30,286363636.4
DG027 #5,LB,0.01,1e-06,1e-05,4,0,29,24,259090909.1
DG027 #6,LB,0.01,1e-06,1e-05,1,1,9,7,81818181.82
DG027 #7,LB,0.01,1e-06,1e-05,1,3,24,22,227272727.3
DG027 #8,LB,0.01,1e-06,1e-05,4,3,26,22,250000000.0
DG027 #9,LB,0.01,1e-06,1e-05,0,1,29,21,231818181.8
DG028 #1,LB,0.01,1e-06,1e-05,4,2,21,25,236363636.4
DG028 #2,LB,0.01,1e-06,1e-05,4,3,28,26,277272727.3
DG028 #3,LB,0.01,1e-06,1e-05,4,3,27,25,268181818.2
DG028 #4,LB,0.01,1e-06,1e-05,3,3,33,29,309090909.1
DG028 #5,LB,0.01,1e-06,1e-05,5,3,35,36,359090909.1
DG028 #6,LB,0.01,1e-06,1e-05,5,3,26,29,286363636.4
DG028 #7,LB,0.01,1e-06,1e-05,2,2,28,34,300000000.0
DG028 #8,LB,0.01,1e-06,1e-05,3,2,23,23,231818181.8
DG028 #9,LB,0.01,1e-06,1e-05,3,2,19,28,236363636.4
DG032 #1,LB,0.01,1e-06,1e-05,7,5,23,23,263636363.6
DG032 #2,LB,0.01,1e-06,1e-05,4,8,17,29,263636363.6
DG032 #3,LB,0.01,1e-06,1e-05,3,5,20,24,236363636.4
DG032 #4,LB,0.01,1e-06,1e-05,4,4,25,26,268181818.2
DG032 #5,LB,0.01,1e-06,1e-05,3,6,32,24,295454545.5
DG032 #6,LB,0.01,1e-06,1e-05,4,1,27,28,272727272.7
DG032 #7,LB,0.01,1e-06,1e-05,6,6,29,26,304545454.5
DG032 #8,LB,0.01,1e-06,1e-05,1,5,21,20,213636363.6
DG032 #9,LB,0.01,1e-06,1e-05,2,1,19,30,236363636.4
DG033 #1,LB,0.01,1e-06,1e-05,1,4,27,23,250000000.0
DG033 #2,LB,0.01,1e-06,1e-05,2,2,20,31,250000000.0
DG033 #3,LB,0.01,1e-06,1e-05,1,3,22,29,250000000.0
DG033 #4,LB,0.01,1e-06,1e-05,1,5,26,34,300000000.0
DG033 #5,LB,0.01,1e-06,1e-05,0,5,16,20,186363636.4
DG033 #6,LB,0.01,1e-06,1e-05,4,4,25,24,259090909.1
DG033 #7,LB,0.01,1e-06,1e-05,2,3,20,22,213636363.6
DG033 #8,LB,0.01,1e-06,1e-05,5,3,17,24,222727272.7
DG033 #9,LB,0.01,1e-06,1e-05,6,2,32,26,300000000.0
DG009 #1,Kan,0.01,0.1,1.0,0,2,7,6,681.8181818
DG009 #2,Kan,0.01,0.1,1.0,0,0,12,5,772.7272727
DG009 #3,Kan,0.01,0.1,1.0,0,0,3,5,363.6363636
DG009 #4,Kan,0.01,0.1,1.0,0,0,6,5,500.0
DG009 #5,Kan,0.01,0.1,1.0,0,3,18,31,2363.636364
DG009 #6,Kan,0.01,0.1,1.0,0,2,13,15,1363.636364
DG009 #7,Kan,0.01,0.1,1.0,0,0,9,5,636.3636364
DG009 #8,Kan,0.01,0.1,1.0,0,1,4,5,454.5454545
DG009 #9,Kan,0.01,0.1,1.0,0,1,10,6,772.7272727
DG011 #1,Kan,0.01,0.1,1.0,0,0,4,3,318.1818182
DG011 #2,Kan,0.01,0.1,1.0,6,8,50,55,5409.090909
DG011 #3,Kan,0.01,0.1,1.0,1,1,3,3,363.6363636
DG011 #4,Kan,0.01,0.1,1.0,2,1,4,1,363.6363636
DG011 #5,Kan,0.01,0.1,1.0,0,1,7,8,727.2727273
DG011 #6,Kan,0.01,0.1,1.0,0,0,6,7,590.9090909
DG011 #7,Kan,0.01,0.1,1.0,0,0,4,6,454.5454545
DG011 #8,Kan,0.01,0.1,1.0,3,0,11,10,1090.909091
DG011 #9,Kan,0.01,0.1,1.0,0,0,6,5,500.0
DG027 #1,Kan,0.01,0.1,1.0,15,8,55,46,5636.363636
DG027 #2,Kan,0.01,0.1,1.0,2,4,28,21,2500.0
DG027 #3,Kan,0.01,0.1,1.0,6,6,31,29,3272.727273
DG027 #4,Kan,0.01,0.1,1.0,1,1,11,12,1136.363636
DG027 #5,Kan,0.01,0.1,1.0,1,1,11,12,1136.363636
DG027 #6,Kan,0.01,0.1,1.0,1,0,14,8,1045.454545
DG027 #7,Kan,0.01,0.1,1.0,1,2,24,16,1954.545455
DG027 #8,Kan,0.01,0.1,1.0,1,1,16,24,1909.090909
DG027 #9,Kan,0.01,0.1,1.0,1,4,23,19,2136.363636
DG028 #1,Kan,0.01,0.1,1.0,4,2,22,19,2136.363636
DG028 #2,Kan,0.01,0.1,1.0,1,3,7,11,1000.0
DG028 #3,Kan,0.01,0.1,1.0,4,4,36,29,3318.181818
DG028 #4,Kan,0.01,0.1,1.0,1,0,25,25,2318.181818
DG028 #5,Kan,0.01,0.1,1.0,1,4,16,10,1409.090909
DG028 #6,Kan,0.01,0.1,1.0,1,1,7,9,818.1818182
DG028 #7,Kan,0.01,0.1,1.0,2,1,10,8,954.5454545
