Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
SLM1042,LB,0.1,0.0001,1e-05,877,877,178,178,95909090.90909088
SLM1043,LB,0.1,0.0001,1e-05,669,669,93,93,69272727.27272727
DG024,LB,0.1,0.0001,1e-05,672,672,77,77,68090909.09090908
DG026,LB,0.1,0.0001,1e-05,521,521,143,143,60363636.36363636
DG027,LB,0.1,0.0001,1e-05,166,166,49,49,19545454.545454543
DG028,LB,0.1,0.0001,1e-05,542,542,133,133,61363636.36363635
SLM1042,Kan,0.1,1.0,0.1,33,33,3,3,327.27272727272725
SLM1043,Kan,0.1,1.0,0.1,435,435,45,45,4363.636363636363
DG024,Kan,0.1,1.0,0.1,405,405,52,52,4154.545454545454
DG026,Kan,0.1,1.0,0.1,198,198,27,27,2045.4545454545453
DG027,Kan,0.1,1.0,0.1,177,177,17,17,1763.6363636363635
DG028,Kan,0.1,10e-1,10e-2,141,141,11,11,1381.8181818181815
