,Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre,Median
0,DG060 #1,LB,0.01,1e-06,1e-05,2,3,18,16,177272727.27272725,True
1,DG060 #2,LB,0.01,1e-06,1e-05,2,4,24,14,200000000.0,True
2,DG060 #3,LB,0.01,1e-06,1e-05,1,2,16,17,163636363.6363636,NA
3,DG060 #4,LB,0.01,1e-06,1e-05,1,2,23,20,209090909.09090903,NA
4,DG060 #5,LB,0.01,1e-06,1e-05,5,1,12,20,172727272.7272727,NA
5,DG060 #1,Kan,0.01,0.1,1.0,1,2,15,21,1772.7272727272723,True
6,DG060 #2,Kan,0.01,0.1,1.0,1,1,14,16,1454.5454545454545,True
7,DG060 #3,Kan,0.01,0.1,1.0,0,2,16,9,1227.2727272727273,NA
8,DG060 #4,Kan,0.01,0.1,1.0,1,0,15,18,1545.4545454545453,NA
9,DG060 #5,Kan,0.01,0.1,1.0,1,0,5,6,545.4545454545454,NA
