Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
DG060 #1,9,1045454545.5,7045.4545450000005,6.739130434054821e-06,878.6609914215742,115.73707408907585,0.131719827349825,8.404583395840946e-07,1.1070502738473753e-07
DG060 #2,9,704545454.5,7727.272725000001,1.0967741932965662e-05,953.9164433223328,124.51510985372056,0.1305304156620417,1.35394591964163e-06,1.7673112367474736e-07
DG060 #3,9,750000000.0,5454.545455,7.272727273333333e-06,700.0897744853905,94.59882804670195,0.1351238533889999,9.334530326471874e-07,1.2613177072893593e-07
DG060 #4,9,863636363.5,6590.90909,7.631578947520775e-06,828.0944515615159,109.79808785657714,0.132591261358573,9.588462072226255e-07,1.2713462806453166e-07
DG060 #5,9,613636363.5,8409.090909999999,1.3703703708230451e-05,1028.524224921944,133.1519077218916,0.1294591848159888,1.6761135520971189e-06,2.169882941135245e-07
DG060 #6,9,840909091.0,5681.81818,6.756756753864135e-06,725.888628293915,97.68276844460726,0.1345699114672659,8.632189092291725e-07,1.1616329219183965e-07
DG060 #7,9,840909091.0,9545.454545,1.135135134958364e-05,1151.5944665553325,147.27049919725593,0.1278839934319706,1.3694636898096424e-06,1.7513248551293866e-07
DG060 #8,9,636363636.5,5909.09091,9.28571428515306e-06,751.5839974741472,100.7435888210245,0.1340416894979058,1.1810605672062898e-06,1.5831135382768608e-07
DG060 #9,9,931818182.0,7500.0,8.048780486234385e-06,928.9066549594892,121.60558184687945,0.1309125962201044,9.96875434396159e-07,1.3050355122484553e-07
DG061 #1,9,1204545454.5,20000.0,1.6603773585532217e-05,2234.225047193972,266.6935062392988,0.1193673424144299,1.8548283411366872e-06,2.2140592971645202e-07
DG061 #2,9,1000000000.0,11818.18182,1.181818182e-05,1393.6999720659542,174.64433750536713,0.1253098521961529,1.3936999720659542e-06,1.7464433750536716e-07
DG061 #3,9,1318181818.0,11136.363635,8.448275862199762e-06,1321.5757267351785,166.53997683713484,0.1260162194780584,1.002574689385663e-06,1.2634067210076998e-07
DG061 #4,9,1068181818.0,15681.81818,1.4680851064626528e-05,1795.6692156088586,219.15646304949595,0.122047235172535,1.6810520319199617e-06,2.051677526770035e-07
DG061 #5,9,568181818.0,12045.454545,2.1200000005984e-05,1417.6530130383449,177.32712823814205,0.1250850007775109,2.4950693037459093e-06,3.120957457990007e-07
DG061 #6,9,1000000000.0,18181.81818,1.818181818e-05,2050.744825505465,246.9181151230176,0.120404114667049,2.050744825505465e-06,2.469181151230176e-07
DG061 #7,9,863636363.5,34545.454545,4.0000000005789473e-05,3657.697930406412,416.0035886646811,0.1137337190166653,4.235229183244566e-06,4.816883658983184e-07
DG061 #8,9,1068181818.0,12045.454545,1.127659574617474e-05,1417.6530130383449,177.32712823814205,0.1250850007775109,1.3271645230703083e-06,1.6600837540013444e-07
DG061 #9,9,1045454545.5,118181.8182,0.0001130434782733,11188.647115652106,1149.4778812828745,0.1027360921656773,1.0702184197114962e-05,1.099500582048858e-06
DG062 #1,9,909090909.0,13409.09091,1.4750000002475e-05,1560.5090164780638,193.24264655805155,0.1238330855621608,1.716559918297526e-06,2.125669112351134e-07
DG062 #2,9,954545454.5,8409.090909999999,8.80952381089569e-06,1028.524224921944,133.1519077218916,0.1294591848159888,1.0775015690171555e-06,1.3949247476290988e-07
DG062 #3,9,1204545454.5,8636.363635,7.1698113198932e-06,1053.2605571968568,136.0020059827877,0.1291247498574738,8.744049909134059e-07,1.1290732572582022e-07
DG062 #4,9,1204545454.5,13409.09091,1.1132075472872909e-05,1560.5090164780638,193.24264655805155,0.1238330855621608,1.2955169193891667e-06,1.6042785752594573e-07
DG062 #5,9,863636363.5,14545.454545,1.684210526529086e-05,1678.5156489191013,206.2881376423365,0.1228991447146638,1.9435444358974137e-06,2.38859948886736e-07
DG062 #6,9,1386363636.5,13181.81818,9.508196719064769e-06,1536.7980498703273,190.6106777302464,0.1240310512798541,1.1085100686498908e-06,1.3748966916894928e-07
DG062 #7,9,1295454545.5,9090.90909,7.01754385870114e-06,1102.546140235599,141.66179236460067,0.1284860444337771,8.510882485730558e-07,1.0935296252322324e-07
DG062 #8,9,1181818182.0,14772.727275,1.25e-05,1702.0121215034878,208.8754265382157,0.1227226433344691,1.44016410258908e-06,1.767407455051455e-07
DG062 #9,9,1363636363.5,8863.636365,6.50000000165e-06,1077.93389437457,138.83848808901922,0.12880055893369505,7.904848559537332e-07,1.0181489127546225e-07
