Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
DG009 #1,9,1204545454.5,3409.0909090000005,2.8301886792766115e-06,462.18863095656906,65.54877656858864,0.1418225637288515,3.83703769110499e-07,5.4417852247674264e-08
DG009 #2,9,1295454545.5,3863.6363635,2.982456140140966e-06,516.0948920169185,72.24241649144687,0.139978941099612,3.983890394376778e-07,5.5766075886177727e-08
DG009 #3,9,1090909091.0,1818.181818,1.6666666663611112e-06,266.40026846510733,40.44184130548382,0.1518085606238074,2.44200246072665e-07,3.707168786027086e-08
DG009 #4,9,1136363636.5,2500.0,2.199999999736e-06,351.94099203846,51.59169280393058,0.1465918832162996,3.0970807295667986e-07,4.540068966201082e-08
DG009 #5,9,818181818.0,11818.18182,1.4444444449876544e-05,1393.6999720659542,174.64433750536713,0.1253098521961529,1.7034110773480354e-06,2.134541903317719e-07
DG009 #6,9,1181818182.0,6818.18182,5.769230769881657e-06,853.4193930080631,112.77675692364846,0.132146934845413,7.221241016649574e-07,9.542648661302157e-08
DG009 #7,9,1113636363.5,3181.818182,2.8571428576559767e-06,434.9570260040858,62.13721579554369,0.1428582873264358,3.905736560514942e-07,5.579668357834086e-08
DG009 #8,9,1340909091.0,2272.7272725000003,1.694915253952887e-06,323.7514292798276,47.95338067496954,0.1481178964418472,2.41441743853333e-07,3.5761843212806995e-08
DG009 #9,9,977272727.5,3863.6363635,3.9534883710340725e-06,516.0948920169185,72.24241649144687,0.139978941099612,5.280970986851963e-07,7.392247267173111e-08
DG011 #1,9,1409090909.0,1590.909091,1.129032258201873e-06,237.14255139014915,36.54358258244265,0.1540996433083019,1.68294713900641e-07,2.5934155382761505e-08
DG011 #2,9,1090909091.0,27045.454545,2.4791666664184025e-05,2932.2277385504367,340.70456212624066,0.1161930765632378,2.687875426780577e-06,3.123125152563613e-07
DG011 #3,9,1068181818.0,1818.181818,1.7021276596939792e-06,266.40026846510733,40.44184130548382,0.1518085606238074,2.493959960523381e-07,3.786044718604621e-08
DG011 #4,9,1136363636.5,1818.181818,1.599999999648e-06,266.40026846510733,40.44184130548382,0.1518085606238074,2.3443223622116258e-07,3.55888203445551e-08
DG011 #5,9,1409090909.0,3636.3636365,2.58064516155359e-06,489.2298673865181,68.91600545828813,0.1408663085646011,3.471953897805738e-07,4.8908132909037294e-08
DG011 #6,9,909090909.0,2954.5454545,3.250000000275e-06,407.51863918100617,58.67722571993553,0.1439866059571156,4.482705031439338e-07,6.454494829838359e-08
DG011 #7,9,1295454545.5,2272.7272725000003,1.754385964675285e-06,323.7514292798276,47.95338067496954,0.1481178964418472,2.499133839967121e-07,3.701664473025661e-08
DG011 #8,9,1181818182.0,5454.545455,4.615384615059171e-06,700.0897744853905,94.59882804670195,0.1351238533889999,5.92383655242656e-07,8.004516218104857e-08
DG011 #9,9,1227272727.5,2500.0,2.037037036659808e-06,351.94099203846,51.59169280393058,0.1465918832162996,2.867667342004551e-07,4.203767561023275e-08
DG027 #1,9,1113636363.5,28181.81818,2.530612245044565e-05,3043.17688652446,352.31620621540435,0.1157725033255547,2.732648633132084e-06,3.163655729668568e-07
DG027 #2,9,1431818182.0,12500.0,8.730158729050138e-06,1465.432391466719,182.66603111531805,0.1246499205142392,1.0234765907356797e-06,1.2757627568338705e-07
DG027 #3,9,1340909091.0,16363.636365,1.2203389830698077e-05,1865.5824178928333,226.79915320213613,0.1215701600888288,1.3912818030799926e-06,1.691383515291091e-07
DG027 #4,9,1431818182.0,5681.81818,3.968253966480222e-06,725.888628293915,97.68276844460726,0.1345699114672659,5.069698355694682e-07,6.822288588915773e-08
DG027 #5,9,1295454545.5,5681.81818,4.385964910723299e-06,725.888628293915,97.68276844460726,0.1345699114672659,5.603350814703787e-07,7.540424230547213e-08
DG027 #6,9,409090909.1,5227.272725000001,1.2777777771938274e-05,674.1822876328714,91.49053806528528,0.1357059355363943,1.6480011475103968e-06,2.2364353748794974e-07
DG027 #7,9,1136363636.5,9772.727275,8.600000000968e-06,1176.0338672081605,150.05666212963834,0.1275955279126991,1.034909803018992e-06,1.3204986265823576e-07
DG027 #8,9,1250000000.0,9545.454545,7.636363636e-06,1151.5944665553325,147.27049919725593,0.1278839934319706,9.21275573244266e-07,1.1781639935780481e-07
DG027 #9,9,1159090909.0,10681.81818,9.215686273663976e-06,1273.2613264272045,161.0880162732023,0.126516067777868,1.098499967984137e-06,1.3897789640346692e-07
DG028 #1,9,1181818182.0,10681.81818,9.038461535532544e-06,1273.2613264272045,161.0880162732023,0.126516067777868,1.0773749683495767e-06,1.3630524451789345e-07
DG028 #2,9,1386363636.5,5000.0,3.606557376694437e-06,648.1605263286921,88.35654624484235,0.1363189251053455,4.675256255025787e-07,6.373259072771586e-08
DG028 #3,9,1340909091.0,16590.90909,1.2372881354415398e-05,1888.8268020448088,229.3343553765484,0.121416296681239,1.408616598039612e-06,1.7102901077769517e-07
DG028 #4,9,1545454545.5,11590.90909,7.499999999191177e-06,1369.703422107203,171.9523679408221,0.1255398542235399,8.862786848668292e-07,1.1126329689961245e-07
DG028 #5,9,1795454545.5,7045.4545450000005,3.924050632558885e-06,878.6609914215742,115.73707408907585,0.131719827349825,4.893808053363355e-07,6.446115518722045e-08
DG028 #6,9,1431818182.0,4090.909091,2.857142856843537e-06,542.7960307204031,75.53105297682636,0.1391518152345015,3.7909564045499954e-07,5.275184651679913e-08
DG028 #7,9,1500000000.0,4772.7272725,3.181818181666667e-06,622.0182792162686,85.195358566861,0.1369660047196773,4.146788528108458e-07,5.6796905711240683e-08
DG028 #8,9,1159090909.0,13181.81818,1.137254901893118e-05,1536.7980498703273,190.6106777302464,0.1240310512798541,1.3258649843058404e-06,1.644484278586007e-07
DG028 #9,9,1181818182.0,6136.363635,5.19230769035503e-06,777.1805938453266,103.78241100353438,0.133537059243902,6.576143485371819e-07,8.781588622024972e-08
DG032 #1,9,1318181818.0,11363.636365,8.620689657395957e-06,1345.6623576092404,169.25099330934285,0.1257752305786729,1.0208473059133338e-06,1.283973052868666e-07
DG032 #2,9,1318181818.0,10454.545455,7.931034484197384e-06,1249.031207298725,158.3465408281084,0.126775487996464,9.475409160124864e-07,1.2012496202409948e-07
DG032 #3,9,1181818182.0,23863.636365,2.019230769035504e-05,2619.307752082408,307.7424437907857,0.1174899908367482,2.216337328344139e-06,2.60397452398296e-07
DG032 #4,9,1340909091.0,4318.181818,3.220338982696926e-06,569.3441039256049,78.7845732589703,0.1383777801785489,4.245956028987837e-07,5.875459700270636e-08
DG032 #5,9,1477272727.5,6590.90909,4.461538460236686e-06,828.0944515615159,109.79808785657714,0.132591261358573,5.605562440477098e-07,7.432485946070993e-08
DG032 #6,9,1363636363.5,6590.90909,4.83333333315e-06,828.0944515615159,109.79808785657714,0.132591261358573,6.072692645391719e-07,8.051859776954178e-08
DG032 #7,9,1522727272.5,10454.545454545452,6.86567164281577e-06,1249.0312072502147,158.3465408226148,0.1267754879969894,8.202593004061498e-07,1.0398877309305881e-07
DG032 #8,9,1068181818.0,9772.727272727272,9.148936171770032e-06,1176.0338669640414,150.05666210183554,0.127595527915544,1.1009678756430972e-06,1.4047857731073602e-07
DG032 #9,9,1181818182.0,14090.90909090909,1.1923076921242604e-05,1631.4198285341736,201.09218869975783,0.1232620722039639,1.380432162393465e-06,1.701549288736174e-07
DG033 #1,9,1250000000.0,8409.090909090908,6.727272727272727e-06,1028.52422482287,133.15190771046332,0.1294591848173478,8.228193798582959e-07,1.0652152616837069e-07
DG033 #2,9,1250000000.0,8181.818181818182,6.545454545454546e-06,1003.7228785061484,130.28772768947238,0.1298044813757568,8.029783028049186e-07,1.042301821515779e-07
DG033 #3,9,1250000000.0,31136.36363636364,2.490909090909091e-05,3329.8493614737545,382.1520662620975,0.1147655718854985,2.6638794891790035e-06,3.05721653009678e-07
DG033 #4,9,1500000000.0,6590.90909090909,4.393939393939393e-06,828.0944516629868,109.79808786852958,0.1325912613567595,5.520629677753245e-07,7.319872524568638e-08
DG033 #5,9,931818182.0,10227.272727272726,1.0975609753955978e-05,1224.7508154803168,155.59435914051582,0.1270416456750801,1.314366728551683e-06,1.669793122157771e-07
DG033 #6,9,1295454545.5,8409.090909090908,6.491228069947676e-06,1028.52422482287,133.15190771046332,0.1294591848173478,7.939485243968136e-07,1.0278392875534768e-07
DG033 #7,9,1068181818.0,20000.0,1.872340425850612e-05,2234.225047193972,266.6935062392988,0.1193673424144299,2.091614938154632e-06,2.4967051652184064e-07
DG033 #8,9,1113636363.5,5000.0,4.489795918917118e-06,648.1605263286921,88.35654624484235,0.1363189251053455,5.820216971827465e-07,7.934057214794095e-08
DG033 #9,9,1500000000.0,5909.090909090909,3.939393939393939e-06,751.5839973715664,100.743588808826,0.1340416894999703,5.01055998247711e-07,6.716239253921733e-08
