Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
1042,LB,0.1,0.0001,0,18,18,0,0,1799999.9999999998
1043,LB,0.1,0.0001,0,10,10,0,0,1000000.0
DG024,LB,0.1,0.0001,0,11,11,0,0,1100000.0
DG026,LB,0.1,0.0001,0,11,11,0,0,1100000.0
DG027,LB,0.1,0.0001,0,20,20,0,0,2000000.0
DG028,LB,0.1,0.0001,0,10,10,0,0,1000000.0
1042,Kan,0.1,1.0,0,1,1,0,0,10.0
1043,Kan,0.1,1.0,0,30,30,0,0,300.0
DG024,Kan,0.1,1.0,0,9,9,0,0,90.0
DG026,Kan,0.1,1.0,0,8,8,0,0,80.0
DG027,Kan,0.1,1.0,0,3,3,0,0,30.0
DG028,Kan,0.1,10e-1,0,1,1,0,0,10.0
