"","rname","qname","pos","qwidth","strand"
"1","MG1655","G4",3270503,48,"-"
"2","MG1655","G4",632041,33,"-"
"3","MG1655","G4",2059004,30,"-"
"4","MG1655","G4",3137226,40,"-"
"5","MG1655","G4",3504846,33,"-"
"6","MG1655","G4",3592475,39,"+"
"7","MG1655","G4",4112574,46,"+"
"8","MG1655","G4",4192298,41,"+"
"9","MG1655","G4",1133,39,"-"
"10","MG1655","G4",53225,28,"+"
"11","MG1655","G4",89591,32,"+"
"12","MG1655","G4",98482,23,"+"
"13","MG1655","G4",111311,29,"+"
"14","MG1655","G4",121444,33,"-"
"15","MG1655","G4",139443,31,"-"
"16","MG1655","G4",164558,21,"+"
"17","MG1655","G4",164597,21,"-"
"18","MG1655","G4",171664,24,"+"
"19","MG1655","G4",200142,33,"+"
"20","MG1655","G4",215142,24,"-"
"21","MG1655","G4",242494,44,"-"
"22","MG1655","G4",242989,36,"-"
"23","MG1655","G4",268063,25,"+"
"24","MG1655","G4",269706,29,"+"
"25","MG1655","G4",282113,23,"+"
"26","MG1655","G4",289257,21,"+"
"27","MG1655","G4",321557,27,"+"
"28","MG1655","G4",327086,28,"+"
"29","MG1655","G4",346149,32,"-"
"30","MG1655","G4",388676,24,"+"
"31","MG1655","G4",395846,32,"+"
"32","MG1655","G4",425040,27,"-"
"33","MG1655","G4",497855,23,"+"
"34","MG1655","G4",549145,23,"+"
"35","MG1655","G4",560935,29,"+"
"36","MG1655","G4",621913,29,"+"
"37","MG1655","G4",624591,23,"+"
"38","MG1655","G4",624641,21,"-"
"39","MG1655","G4",641399,23,"+"
"40","MG1655","G4",712197,33,"+"
"41","MG1655","G4",732312,31,"-"
"42","MG1655","G4",734183,31,"-"
"43","MG1655","G4",843955,29,"+"
"44","MG1655","G4",888967,27,"+"
"45","MG1655","G4",907564,20,"+"
"46","MG1655","G4",994554,42,"-"
"47","MG1655","G4",1080029,25,"+"
"48","MG1655","G4",1100369,30,"+"
"49","MG1655","G4",1206447,32,"+"
"50","MG1655","G4",1254029,39,"+"
"51","MG1655","G4",1351203,23,"-"
"52","MG1655","G4",1378021,35,"+"
"53","MG1655","G4",1421631,19,"-"
"54","MG1655","G4",1461168,44,"+"
"55","MG1655","G4",1549682,26,"+"
"56","MG1655","G4",1555160,33,"-"
"57","MG1655","G4",1562662,29,"+"
"58","MG1655","G4",1740851,36,"-"
"59","MG1655","G4",1790986,23,"-"
"60","MG1655","G4",1875035,34,"-"
"61","MG1655","G4",1924376,21,"-"
"62","MG1655","G4",1927223,30,"-"
"63","MG1655","G4",1935415,44,"-"
"64","MG1655","G4",2017069,33,"+"
"65","MG1655","G4",2064527,27,"-"
"66","MG1655","G4",2085250,35,"-"
"67","MG1655","G4",2115802,27,"+"
"68","MG1655","G4",2144575,26,"+"
"69","MG1655","G4",2190546,29,"-"
"70","MG1655","G4",2275605,22,"-"
"71","MG1655","G4",2295944,36,"-"
"72","MG1655","G4",2331657,33,"-"
"73","MG1655","G4",2400768,38,"-"
"74","MG1655","G4",2442455,35,"+"
"75","MG1655","G4",2570460,19,"-"
"76","MG1655","G4",2581510,31,"+"
"77","MG1655","G4",2766031,22,"+"
"78","MG1655","G4",2767475,32,"-"
"79","MG1655","G4",2779157,20,"+"
"80","MG1655","G4",2828731,30,"+"
"81","MG1655","G4",2880913,33,"-"
"82","MG1655","G4",2920989,23,"-"
"83","MG1655","G4",2983157,36,"-"
"84","MG1655","G4",3046002,21,"+"
"85","MG1655","G4",3046051,23,"-"
"86","MG1655","G4",3126198,32,"-"
"87","MG1655","G4",3160391,37,"+"
"88","MG1655","G4",3217043,40,"-"
"89","MG1655","G4",3231562,31,"-"
"90","MG1655","G4",3239612,21,"+"
"91","MG1655","G4",3239661,23,"-"
"92","MG1655","G4",3303755,36,"+"
"93","MG1655","G4",3341429,28,"+"
"94","MG1655","G4",3349392,29,"-"
"95","MG1655","G4",3390493,23,"-"
"96","MG1655","G4",3463267,29,"-"
"97","MG1655","G4",3548366,38,"-"
"98","MG1655","G4",3553760,33,"-"
"99","MG1655","G4",3608696,23,"+"
"100","MG1655","G4",3621921,31,"-"
"101","MG1655","G4",3639727,46,"-"
"102","MG1655","G4",3675846,39,"+"
"103","MG1655","G4",3685625,37,"-"
"104","MG1655","G4",3695943,31,"-"
"105","MG1655","G4",3724918,23,"-"
"106","MG1655","G4",3728091,27,"-"
"107","MG1655","G4",3764912,31,"-"
"108","MG1655","G4",3781026,23,"-"
"109","MG1655","G4",3781133,23,"+"
"110","MG1655","G4",3824123,40,"-"
"111","MG1655","G4",3837562,30,"-"
"112","MG1655","G4",3841360,26,"-"
"113","MG1655","G4",3908507,23,"+"
"114","MG1655","G4",3959458,21,"-"
"115","MG1655","G4",3968618,28,"-"
"116","MG1655","G4",3985503,24,"-"
"117","MG1655","G4",3998204,37,"+"
"118","MG1655","G4",4070464,23,"+"
"119","MG1655","G4",4175099,34,"+"
"120","MG1655","G4",4231252,31,"-"
"121","MG1655","G4",4231286,23,"+"
"122","MG1655","G4",4314297,24,"+"
"123","MG1655","G4",4314351,37,"-"
"124","MG1655","G4",4318635,40,"-"
"125","MG1655","G4",4325274,23,"+"
"126","MG1655","G4",4458720,35,"+"
"127","MG1655","G4",4472439,26,"+"
"128","MG1655","G4",4488572,27,"-"
"129","MG1655","G4",4549847,23,"-"
"130","MG1655","G4",4587897,40,"-"
