"","Sequence","Index","GC"
"1","NC_000964.3",0,0.0396088
"2","NC_000964.3",5000,0.07126645
"3","NC_000964.3",10000,0.14058355
"4","NC_000964.3",15000,0.10147783
"5","NC_000964.3",20000,0.07465438
"6","NC_000964.3",25000,0.14556662
"7","NC_000964.3",30000,0.14730448
"8","NC_000964.3",35000,0.11972522
"9","NC_000964.3",40000,0.1410628
"10","NC_000964.3",45000,0.10657371
"11","NC_000964.3",50000,0.14563107
"12","NC_000964.3",55000,0.12277413
"13","NC_000964.3",60000,0.12122578
"14","NC_000964.3",65000,0.15239887
"15","NC_000964.3",70000,0.09382151
"16","NC_000964.3",75000,0.12392192
"17","NC_000964.3",80000,0.12377394
"18","NC_000964.3",85000,0.12562358
"19","NC_000964.3",90000,0.14767932
"20","NC_000964.3",95000,0.14252607
"21","NC_000964.3",1e+05,0.14142792
"22","NC_000964.3",105000,0.15073704
"23","NC_000964.3",110000,0.14272727
"24","NC_000964.3",115000,0.14436451
"25","NC_000964.3",120000,0.0701347
"26","NC_000964.3",125000,0.05138699
"27","NC_000964.3",130000,0.0351377
"28","NC_000964.3",135000,0.0577105
"29","NC_000964.3",140000,0.0937799
"30","NC_000964.3",145000,0.11669829
"31","NC_000964.3",150000,0.09491059
"32","NC_000964.3",155000,0.12173484
"33","NC_000964.3",160000,0.13789016
"34","NC_000964.3",165000,0.14351852
"35","NC_000964.3",170000,0.15059093
"36","NC_000964.3",175000,0.12765957
"37","NC_000964.3",180000,0.03865393
"38","NC_000964.3",185000,0.02123814
"39","NC_000964.3",190000,0.07471764
"40","NC_000964.3",195000,0.10682226
"41","NC_000964.3",2e+05,0.04588061
"42","NC_000964.3",205000,0.11355678
"43","NC_000964.3",210000,0.153125
"44","NC_000964.3",215000,0.17604543
"45","NC_000964.3",220000,0.12306926
"46","NC_000964.3",225000,0.14325975
"47","NC_000964.3",230000,0.09018214
"48","NC_000964.3",235000,0.10955478
"49","NC_000964.3",240000,0.05096978
"50","NC_000964.3",245000,0.09421939
"51","NC_000964.3",250000,0.07317073
"52","NC_000964.3",255000,0.07618633
"53","NC_000964.3",260000,-0.01911887
"54","NC_000964.3",265000,0.11663808
"55","NC_000964.3",270000,0.10084371
"56","NC_000964.3",275000,0.12951168
"57","NC_000964.3",280000,0.06896552
"58","NC_000964.3",285000,0.05585436
"59","NC_000964.3",290000,0.03794038
"60","NC_000964.3",295000,0.0222424
"61","NC_000964.3",3e+05,0.09587772
