"","rname","qname","pos","qwidth","strand"
"1","MG1655","G4",89591,32,"+"
"2","MG1655","G4",98482,23,"+"
"3","MG1655","G4",111311,29,"+"
"4","MG1655","G4",164558,21,"+"
"5","MG1655","G4",164597,21,"-"
"6","MG1655","G4",171664,24,"+"
"7","MG1655","G4",215142,24,"-"
"8","MG1655","G4",268063,25,"+"
"9","MG1655","G4",282113,23,"+"
"10","MG1655","G4",289257,21,"+"
"11","MG1655","G4",321557,27,"+"
"12","MG1655","G4",327086,28,"+"
"13","MG1655","G4",388676,24,"+"
"14","MG1655","G4",425040,27,"-"
"15","MG1655","G4",497855,23,"+"
"16","MG1655","G4",549145,23,"+"
"17","MG1655","G4",624591,23,"+"
"18","MG1655","G4",624641,21,"-"
"19","MG1655","G4",632050,24,"-"
"20","MG1655","G4",641399,23,"+"
"21","MG1655","G4",888967,27,"+"
"22","MG1655","G4",907564,20,"+"
"23","MG1655","G4",1080029,25,"+"
"24","MG1655","G4",1351203,23,"-"
"25","MG1655","G4",1409390,28,"-"
"26","MG1655","G4",1421631,19,"-"
"27","MG1655","G4",1549683,25,"+"
"28","MG1655","G4",1790986,23,"-"
"29","MG1655","G4",1924376,21,"-"
"30","MG1655","G4",2059004,30,"-"
"31","MG1655","G4",2115802,27,"+"
"32","MG1655","G4",2275605,22,"-"
"33","MG1655","G4",2570460,19,"-"
"34","MG1655","G4",2581511,30,"+"
"35","MG1655","G4",2766031,22,"+"
"36","MG1655","G4",2779157,20,"+"
"37","MG1655","G4",2880913,33,"-"
"38","MG1655","G4",2920989,23,"-"
"39","MG1655","G4",3046002,21,"+"
"40","MG1655","G4",3046051,23,"-"
"41","MG1655","G4",3231562,31,"-"
"42","MG1655","G4",3239612,21,"+"
"43","MG1655","G4",3239661,23,"-"
"44","MG1655","G4",3341429,28,"+"
"45","MG1655","G4",3349392,29,"-"
"46","MG1655","G4",3390493,23,"-"
"47","MG1655","G4",3463267,29,"-"
"48","MG1655","G4",3504856,23,"-"
"49","MG1655","G4",3592475,25,"+"
"50","MG1655","G4",3608696,23,"+"
"51","MG1655","G4",3695943,31,"-"
"52","MG1655","G4",3724918,23,"-"
"53","MG1655","G4",3728091,27,"-"
"54","MG1655","G4",3781026,23,"-"
"55","MG1655","G4",3781133,23,"+"
"56","MG1655","G4",3841360,25,"-"
"57","MG1655","G4",3908507,23,"+"
"58","MG1655","G4",3959458,21,"-"
"59","MG1655","G4",3985503,24,"-"
"60","MG1655","G4",4070464,23,"+"
"61","MG1655","G4",4231252,31,"-"
"62","MG1655","G4",4231286,23,"+"
"63","MG1655","G4",4314297,24,"+"
"64","MG1655","G4",4472439,26,"+"
"65","MG1655","G4",4488572,27,"-"
"66","MG1655","G4",4549847,23,"-"
