Sequence	Index	GC Skew (5kb)
U00096.3	0	0.06525839
U00096.3	5000	0.00469484
U00096.3	10000	0.03287129
U00096.3	15000	0.04657756
U00096.3	20000	0.04188482
U00096.3	25000	0.05795981
U00096.3	30000	0.04589193
U00096.3	35000	-0.05761160
U00096.3	40000	0.02083333
U00096.3	45000	0.10465549
U00096.3	50000	-0.00408163
U00096.3	55000	0.06785859
U00096.3	60000	-0.02417582
U00096.3	65000	0.00000000
U00096.3	70000	0.01822157
U00096.3	75000	0.04128440
U00096.3	80000	0.00842359
U00096.3	85000	0.07870555
U00096.3	90000	0.07725948
U00096.3	95000	0.09970458
U00096.3	100000	0.13092130
U00096.3	105000	0.04522613
U00096.3	110000	0.04132231
U00096.3	115000	0.03145131
U00096.3	120000	-0.00625489
U00096.3	125000	0.07247465
U00096.3	130000	0.06159015
U00096.3	135000	0.04153846
U00096.3	140000	0.07643814
U00096.3	145000	0.03020668
U00096.3	150000	-0.02369668
U00096.3	155000	0.01298701
U00096.3	160000	0.05851852
U00096.3	165000	0.03754266
U00096.3	170000	0.06764809
U00096.3	175000	0.03917051
U00096.3	180000	0.05586592
U00096.3	185000	-0.00382555
U00096.3	190000	0.08854782
U00096.3	195000	0.10225030
U00096.3	200000	0.07469512
U00096.3	205000	0.07646401
U00096.3	210000	0.04858757
U00096.3	215000	0.01253323
U00096.3	220000	0.03510848
U00096.3	225000	0.12740102
U00096.3	230000	-0.01773196
U00096.3	235000	-0.00624442
U00096.3	240000	-0.01646707
U00096.3	245000	-0.01640625
U00096.3	250000	0.04207120
U00096.3	255000	-0.00713719
U00096.3	260000	0.05034325
U00096.3	265000	-0.00188466
U00096.3	270000	0.04843084
U00096.3	275000	0.04648649
U00096.3	280000	-0.00787919
U00096.3	285000	-0.04870130
U00096.3	290000	0.01290323
U00096.3	295000	-0.00863422
U00096.3	300000	0.03805175
U00096.3	305000	-0.00037078
U00096.3	310000	0.03904762
U00096.3	315000	0.00478469
U00096.3	320000	0.10236887
U00096.3	325000	-0.02210759
U00096.3	330000	0.03768844
U00096.3	335000	0.06525839
U00096.3	340000	0.05608215
U00096.3	345000	0.00473934
U00096.3	350000	0.02407932
U00096.3	355000	0.00889548
U00096.3	360000	0.01176471
U00096.3	365000	-0.00726744
U00096.3	370000	0.08506076
U00096.3	375000	0.03792715
U00096.3	380000	0.03293039
U00096.3	385000	0.06071964
U00096.3	390000	0.01348412
U00096.3	395000	0.03909304
U00096.3	400000	0.02611491
U00096.3	405000	0.02101859
U00096.3	410000	0.01094753
U00096.3	415000	0.04487917
U00096.3	420000	0.06805504
U00096.3	425000	0.06003824
U00096.3	430000	0.04012714
U00096.3	435000	0.00074963
U00096.3	440000	0.00871542
U00096.3	445000	-0.04324531
U00096.3	450000	0.02284569
U00096.3	455000	0.08760852
U00096.3	460000	0.07626124
U00096.3	465000	0.04173107
U00096.3	470000	0.10087719
U00096.3	475000	0.01048387
U00096.3	480000	-0.04552716
U00096.3	485000	0.02525651
U00096.3	490000	0.01263994
U00096.3	495000	0.00462250
U00096.3	500000	-0.03458878
U00096.3	505000	0.00609292
U00096.3	510000	-0.00805271
U00096.3	515000	0.00504463
U00096.3	520000	0.11157311
U00096.3	525000	0.13484536
U00096.3	530000	0.01885341
U00096.3	535000	0.09798995
U00096.3	540000	0.03613511
U00096.3	545000	0.05274889
U00096.3	550000	0.01874311
U00096.3	555000	0.02084185
U00096.3	560000	0.05372617
U00096.3	565000	0.04666376
U00096.3	570000	0.08758782
U00096.3	575000	0.04028972
U00096.3	580000	0.11089207
U00096.3	585000	0.01382853
U00096.3	590000	-0.00423892
U00096.3	595000	0.04169826
U00096.3	600000	0.06345566
U00096.3	605000	0.04029009
U00096.3	610000	-0.01299666
